Team;M;W;D;L;G;GA;goal_difference;PTS;xG;goal_discrepancy;xGA;goal_suffered_discrepancy;xG_difference;xPTS;points_discrepancy
Palermo;38;6;8;24;33;77;-44;26;28.92;-4.08;60.94;-16.06;-32.02;30.52;4.52
Pescara;38;2;9;27;35;83;-48;15;43.12;8.12;68.41;-14.59;-25.29;38.05;23.05
Chelsea;38;30;3;5;85;33;52;93;61.8;-23.2;28.62;-4.38;33.18;75.74;-17.26
Tottenham;38;26;8;4;86;26;60;86;70.07;-15.93;33.78;7.78;36.29;75.37;-10.63
Manchester City;38;23;9;6;80;39;41;78;79.85;-0.15;29.61;-9.39;50.24;85.41;7.41
Liverpool;38;22;10;6;78;42;36;76;66.63;-11.37;37.65;-4.35;28.98;69.83;-6.17
Arsenal;38;23;6;9;77;44;33;75;63.58;-13.42;47.07;3.07;16.51;62.12;-12.88
Manchester United;38;18;15;5;54;29;25;69;57.57;3.57;31.62;2.62;25.95;70.89;1.89
Everton;38;17;10;11;62;44;18;61;49.63;-12.37;45.78;1.78;3.85;55.78;-5.22
Southampton;38;12;10;16;41;48;-7;46;49.98;8.98;43.08;-4.92;6.9;55.69;9.69
Bournemouth;38;12;10;16;55;67;-12;46;50.02;-4.98;62.99;-4.01;-12.97;43.17;-2.83
West Bromwich Albion;38;12;9;17;43;51;-8;45;38.21;-4.79;47.9;-3.1;-9.69;45.59;0.59
West Ham;38;12;9;17;47;64;-17;45;48.25;1.25;59.67;-4.33;-11.42;46.04;1.04
Leicester;38;12;8;18;48;63;-15;44;44.34;-3.66;51.3;-11.7;-6.96;48.12;4.12
Stoke;38;11;11;16;41;56;-15;44;47.87;6.87;48.67;-7.33;-0.8;52.29;8.29
Crystal Palace;38;12;5;21;50;63;-13;41;45.4;-4.6;50.03;-12.97;-4.63;48.45;7.45
Swansea;38;12;5;21;45;70;-25;41;39.5;-5.5;65.13;-4.87;-25.63;36.49;-4.51
Burnley;38;11;7;20;39;55;-16;40;35.59;-3.41;55.27;0.27;-19.68;38.36;-1.64
Watford;38;11;7;20;40;68;-28;40;36.25;-3.75;52.62;-15.38;-16.37;40.62;0.62
Hull;38;9;7;22;37;80;-43;34;33.84;-3.16;71.77;-8.23;-37.93;30.73;-3.27
Middlesbrough;38;5;13;20;27;53;-26;28;30.93;3.93;55.3;2.3;-24.37;37.25;9.25
Sunderland;38;6;6;26;29;69;-40;24;34.22;5.22;65.66;-3.34;-31.44;32.24;8.24
Real Madrid;38;29;6;3;106;41;65;93;90.87;-15.13;36.86;-4.14;54.01;86.17;-6.83
Barcelona;38;28;6;4;116;37;79;90;93.55;-22.45;31.32;-5.68;62.23;87.95;-2.05
Atletico Madrid;38;23;9;6;70;27;43;78;60.66;-9.34;31.34;4.34;29.32;69.1;-8.9
Sevilla;38;21;9;8;69;49;20;72;59.09;-9.91;38.7;-10.3;20.39;66.18;-5.82
Villarreal;38;19;10;9;56;33;23;67;52.23;-3.77;43.16;10.16;9.07;59.57;-7.43
Real Sociedad;38;19;7;12;59;53;6;64;45.58;-13.42;43.71;-9.29;1.87;54.94;-9.06
Athletic Club;38;19;6;13;53;43;10;63;51.08;-1.92;40.46;-2.54;10.62;60.54;-2.46
Espanyol;38;15;11;12;49;50;-1;56;32.55;-16.45;38.35;-11.65;-5.8;46.92;-9.08
Alaves;38;14;13;11;41;43;-2;55;42.6;1.6;43.97;0.97;-1.37;52.79;-2.21
Eibar;38;15;9;14;56;51;5;54;42.98;-13.02;45.17;-5.83;-2.19;50.05;-3.95
Malaga;38;12;10;16;49;55;-6;46;40.37;-8.63;47.35;-7.65;-6.98;45.75;-0.25
Valencia;38;13;7;18;56;65;-9;46;50.34;-5.66;50.96;-14.04;-0.62;53.39;7.39
Celta Vigo;38;13;6;19;53;69;-16;45;40.48;-12.52;55.98;-13.02;-15.5;42.63;-2.37
Las Palmas;38;10;9;19;53;74;-21;39;40.8;-12.2;58.39;-15.61;-17.59;42.11;3.11
Real Betis;38;10;9;19;41;64;-23;39;35.72;-5.28;48.27;-15.73;-12.55;44.56;5.56
Deportivo La Coruna;38;8;12;18;43;61;-18;36;41;-2;48.6;-12.4;-7.6;51.16;15.16
Leganes;38;8;11;19;36;55;-19;35;33.19;-2.81;46.39;-8.61;-13.2;40.95;5.95
Sporting Gijon;38;7;10;21;42;72;-30;31;36.35;-5.65;64.43;-7.57;-28.08;33.86;2.86
Osasuna;38;4;10;24;40;94;-54;22;33.13;-6.87;64.82;-29.18;-31.69;31.64;9.64
Granada;38;4;8;26;30;82;-52;20;29.69;-0.31;74.03;-7.97;-44.34;26.5;6.5
Bayern Munich;34;25;7;2;89;22;67;82;73.91;-15.09;27.04;5.04;46.87;73.76;-8.24
RasenBallsport Leipzig;34;20;7;7;66;39;27;67;55.09;-10.91;40.06;1.06;15.03;59.54;-7.46
Borussia Dortmund;34;18;10;6;72;40;32;64;74.91;2.91;34.61;-5.39;40.3;68.06;4.06
Hoffenheim;34;16;14;4;64;37;27;62;54.5;-9.5;41.44;4.44;13.06;55.44;-6.56
FC Cologne;34;12;13;9;51;42;9;49;45.34;-5.66;41.27;-0.73;4.07;48.75;-0.25
Hertha Berlin;34;15;4;15;43;47;-4;49;38.15;-4.85;49.39;2.39;-11.24;40.4;-8.6
Freiburg;34;14;6;14;42;60;-18;48;39.41;-2.59;54.62;-5.38;-15.21;39.14;-8.86
Werder Bremen;34;13;6;15;61;64;-3;45;42.99;-18.01;60.55;-3.45;-17.56;38.82;-6.18
Borussia M.Gladbach;34;12;9;13;45;49;-4;45;45.82;0.82;44.44;-4.56;1.38;47.31;2.31
Schalke 04;34;11;10;13;45;40;5;43;44.86;-0.14;43.87;3.87;0.99;46.37;3.37
Eintracht Frankfurt;34;11;9;14;36;43;-7;42;43.59;7.59;38.33;-4.67;5.26;50.68;8.68
Bayer Leverkusen;34;11;8;15;53;55;-2;41;53.1;0.1;50.38;-4.62;2.72;49.63;8.63
Augsburg;34;9;11;14;35;51;-16;38;33.88;-1.12;52.26;1.26;-18.38;34.81;-3.19
Hamburger SV;34;10;8;16;33;61;-28;38;31.91;-1.09;57.14;-3.86;-25.23;31.51;-6.49
Mainz 05;34;10;7;17;44;55;-11;37;42.36;-1.64;43.23;-11.77;-0.87;46.47;9.47
Wolfsburg;34;10;7;17;34;52;-18;37;44.47;10.47;46.85;-5.15;-2.38;46.38;9.38
Ingolstadt;34;8;8;18;36;57;-21;32;44.51;8.51;49.19;-7.81;-4.68;42.54;10.54
Darmstadt;34;7;4;23;28;63;-35;25;33.91;5.91;68.04;5.04;-34.13;26.47;1.47
Monaco;38;30;5;3;107;31;76;95;76.04;-30.96;34.89;3.89;41.15;78.06;-16.94
Paris Saint Germain;38;27;6;5;83;27;56;87;82.16;-0.84;24.25;-2.75;57.91;87.22;0.22
Nice;38;22;12;4;63;36;27;78;51.54;-11.46;50.89;14.89;0.65;53.47;-24.53
Lyon;38;21;4;13;80;48;32;67;71.13;-8.87;41.03;-6.97;30.1;69.07;2.07
Marseille;38;17;11;10;57;41;16;62;53.83;-3.17;47.33;6.33;6.5;56.84;-5.16
Bordeaux;38;15;14;9;53;43;10;59;52.02;-0.98;44.11;1.11;7.91;58.16;-0.84
Nantes;38;14;9;15;40;54;-14;51;42.99;2.99;44.62;-9.38;-1.63;52.83;1.83
Saint-Etienne;38;12;14;12;41;42;-1;50;42.92;1.92;50.26;8.26;-7.34;49.18;-0.82
Rennes;38;12;14;12;36;42;-6;50;41.81;5.81;43.54;1.54;-1.73;50.94;0.94
Guingamp;38;14;8;16;46;53;-7;50;47.14;1.14;52.31;-0.69;-5.17;48.49;-1.51
Lille;38;13;7;18;40;47;-7;46;44.08;4.08;48.77;1.77;-4.69;47.24;1.24
Angers;38;13;7;18;40;49;-9;46;46.19;6.19;41.02;-7.98;5.17;54.69;8.69
Toulouse;38;10;14;14;37;41;-4;44;41.19;4.19;42.98;1.98;-1.79;50.61;6.61
Metz;38;11;10;17;39;72;-33;43;34.76;-4.24;63.68;-8.32;-28.92;36;-7
Montpellier;38;10;9;19;48;66;-18;39;44.2;-3.8;52.03;-13.97;-7.83;47.03;8.03
Dijon;38;8;13;17;46;58;-12;37;38.59;-7.41;62.66;4.66;-24.07;36.73;-0.27
Caen;38;10;7;21;36;65;-29;37;45.28;9.28;56.47;-8.53;-11.19;45.49;8.49
Lorient;38;10;6;22;44;70;-26;36;44.46;0.46;51.88;-18.12;-7.42;46.81;10.81
Nancy;38;9;8;21;29;52;-23;35;32.58;3.58;54.45;2.45;-21.87;39.45;4.45
SC Bastia;38;8;10;20;29;57;-28;34;32.27;3.27;58.01;1.01;-25.74;36.84;2.84
