,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
0,Sergio Agüero,Manchester City,EPL,33,2551,26,21,8,25.270159743726254,5.568922242149711,20.70318364351988,0.8915383680656067,0.1964731484882297,0.7304141622566793,F S,148,33,4,0,6.878173082135618,27.805154908448458
1,Harry Kane,Tottenham,EPL,34,2589,21,19,4,17.15729223564267,3.922500966116786,14.873822528868914,0.5964296258044961,0.13635576938992303,0.5170506093465439,F M S,112,27,4,0,5.549698735587299,16.488438992761075
2,Diego Costa,Chelsea,EPL,26,2111,20,19,3,15.219103761017323,4.554670915938914,14.45793492347002,0.6488485734209185,0.19418303289175853,0.6163970360550932,F S,76,41,8,0,5.2769727278500795,21.365789908915758
3,Charlie Austin,Queens Park Rangers,EPL,35,3078,18,15,5,17.881850190460682,2.548747032880783,14.076042897999287,0.5228611166801369,0.07452476704329775,0.41158020169588555,F,131,23,4,1,3.041321298107505,13.718276167288423
4,Alexis Sánchez,Arsenal,EPL,35,2967,16,16,8,13.451749975793064,8.49417957291007,12.690581078641117,0.4080409497207198,0.2576596432631973,0.38495190329548384,F M S,122,82,4,0,10.736752955242991,27.15757153555751
5,Olivier Giroud,Arsenal,EPL,27,1871,14,14,3,8.846344472840428,3.8601362351328135,8.846344472840428,0.42553233701530657,0.18568266229928018,0.42553233701530657,F S,70,29,5,1,4.129246938973665,13.639880420640111
6,Eden Hazard,Chelsea,EPL,38,3389,14,11,9,12.016092173755169,11.238890495151281,8.971416749060154,0.3191054280430703,0.2984656667346165,0.23824948581157093,M,78,100,2,0,19.476321395486593,31.840571150183678
7,Saido Berahino,West Bromwich Albion,EPL,38,2940,14,10,1,13.841753394342959,1.9616605211049318,10.797114790417254,0.42372714472478445,0.060050832278722405,0.3305239221556302,F M S,86,28,2,0,2.4395576836541295,11.907293939962983
8,Christian Benteke,Aston Villa,EPL,29,2380,13,12,2,8.455073807388544,2.9213200323283672,7.693904969841242,0.3197296817920038,0.11047008525611472,0.29094598625450074,F S,80,33,1,1,2.198609022423625,8.725395945832133
9,David Silva,Manchester City,EPL,32,2682,12,12,7,9.096987545490265,10.388413229957223,9.096987545490265,0.30526803843927064,0.34860447080393364,0.30526803843927064,M,66,92,8,0,16.633573447354138,29.144278153777122
10,Wayne Rooney,Manchester United,EPL,33,2887,12,11,5,8.902106503024697,3.9835622180253267,7.379768742248416,0.27751630941192335,0.12418448203057825,0.23005860297968736,F M,79,45,5,1,7.295702989213169,15.435743432492018
11,Graziano Pellè,Southampton,EPL,38,3291,12,12,2,18.616503284312785,4.481623747386038,18.616503284312785,0.5091113022145702,0.12256035772249876,0.5091113022145702,F S,123,43,6,0,5.598169405013323,24.785646935924888
12,Wilfried Bony,"Manchester City,Swansea",EPL,30,1604,11,10,3,10.45473239198327,3.5082936231046915,9.693563554435968,0.5866121666324777,0.19684939281759492,0.5439031919571304,F S,89,26,3,1,4.412425408139825,14.252214506268501
13,Nacer Chadli,Tottenham,EPL,35,2423,11,11,5,6.865526346489787,3.9355598660185933,6.865526346489787,0.2550133599604131,0.14618257859747147,0.2550133599604131,M S,54,41,3,0,8.626995285972953,15.642377668060362
14,Leonardo Ulloa,Leicester,EPL,37,2434,11,9,3,8.92391943745315,3.7919946145266294,7.401581762358546,0.3299723703248905,0.14021344096441932,0.2736821522646956,F S,49,36,3,0,2.509369350038469,9.963016773574054
15,Papiss Demba Cissé,Newcastle United,EPL,22,1137,11,10,1,8.957138858735561,0.3346783183515072,8.196006797254086,0.7090083529342133,0.026491687468457033,0.6487604325003234,F S,45,7,1,0,0.6167381759732962,7.444708488881588
16,Mame Biram Diouf,Stoke,EPL,34,2451,11,11,3,11.64697848726064,3.4661409705877304,11.64697848726064,0.42767362866318137,0.12727567823455557,0.42767362866318137,F M S,55,28,7,0,0.8619841616600752,13.599629578180611
17,Danny Ings,Burnley,EPL,35,3048,11,10,4,12.289515919983387,4.244326277635992,11.528347082436085,0.36287940708612365,0.12532459481208635,0.34040394928453005,F M,97,35,6,0,2.825656677596271,16.5587038686499
18,Romelu Lukaku,Everton,EPL,36,2880,10,8,5,12.43079612404108,2.350205834954977,10.90853263437748,0.38846237887628376,0.07344393234234303,0.34089164482429624,F S,105,37,1,0,5.078922747634351,15.743810007348657
19,Christian Eriksen,Tottenham,EPL,38,3160,10,10,2,7.389632631093264,6.088786538690329,7.389632631093264,0.2104642205058208,0.17341480648168658,0.2104642205058208,M S,97,84,4,0,13.018117560073733,21.318574644625187
20,Diafra Sakho,West Ham,EPL,23,1765,10,10,2,9.07037549559027,2.615855718962848,9.07037549559027,0.4625120649309486,0.13338641059867215,0.4625120649309486,F M S,66,23,2,0,0.9128178954124451,9.083610157482326
21,Sadio Mané,Southampton,EPL,30,2142,10,10,3,8.553969949483871,3.982477756217122,8.553969949483871,0.35941050207915426,0.16733099816038327,0.35941050207915426,F M S,60,40,5,0,4.032990455627441,14.567276332527399
22,Yaya Touré,Manchester City,EPL,29,2358,10,8,1,7.109345279633999,3.2435781778767705,5.587007623165846,0.27134905647458013,0.12380069381209048,0.21324456576968878,M S,89,33,5,0,20.90326175838709,26.024327591061592
23,Robin van Persie,Manchester United,EPL,27,2126,10,9,2,11.603471722453833,2.9860518015921116,10.081134106963873,0.49120999765797035,0.12640858990747414,0.4267648493070313,F S,76,27,5,0,1.6887292927131057,12.917514119297266
24,Juan Mata,Manchester United,EPL,33,2318,9,8,4,6.5977564714848995,4.968638537451625,5.8365875743329525,0.25616828405247666,0.19291521500027878,0.22661470305865647,M S,33,50,2,0,7.047830257564783,14.520848767831922
25,Steven Gerrard,Liverpool,EPL,28,2239,9,5,1,7.108814503997564,3.2090775687247515,3.30297027528286,0.285749578097267,0.12899373880537188,0.13276789851516632,F M S,54,52,7,0,5.5866065211594105,8.18137452378869
26,Ki Sung-yueng,Swansea,EPL,33,2692,8,8,1,4.330577909946442,1.2641465356573462,4.330577909946442,0.14478157945586173,0.04226344287115942,0.14478157945586173,M S,28,26,4,0,9.004478190094233,11.960132017731667
27,Jonathan Walters,Stoke,EPL,32,2439,8,8,4,5.561564696952701,3.240074114408344,5.561564696952701,0.2052237895554502,0.1195599304209721,0.2052237895554502,F M S,45,24,5,0,2.669186648912728,9.58107604412362
28,Peter Crouch,Stoke,EPL,33,1648,8,8,2,6.730623106472194,1.8830661876127124,6.730623106472194,0.367570436639865,0.10283735247884958,0.367570436639865,F S,59,15,4,0,3.592045398429036,9.373048391193151
29,Nikica Jelavic,Hull,EPL,26,1815,8,8,1,4.8947891388088465,0.8632266633212566,4.8947891388088465,0.24271681680043866,0.042804627933285454,0.24271681680043866,F S,57,17,3,0,1.0867639323696494,5.708562222309411
